"State/Territory","Week_Ending_Date","Data_Collection_Period","State/Territory_WVAL","National_WVAL","Regional_WVAL","WVAL_Category","Coverage","date_updated"
"Arkansas","2026-01-03","All Results",6.33897984064653,6.02344565027326,4.81071104734318,"High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Montana","2022-02-19","All Results",9.73645058346959,3.63367059988779,3.53636262285238,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"New York","2022-01-22","All Results",25.6112500766951,18.9430681733053,19.7633594684142,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Mississippi","2024-04-13","All Results",16.5918899463424,2.30569278883961,2.66620180917412,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Montana","2023-10-21","All Results",11.3073255995522,5.5211059650827,5.71677202801651,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Oklahoma","2025-05-17","1 Year",0.748598441630715,2.02710086558305,2.02801564926378,"Very Low","Limited Coverage","2026-04-02T07:35:53.953Z"
"Florida","2022-03-05","All Results",0.775162171592294,1.62076104674245,1.09829303407334,"Very Low","Limited Coverage","2026-04-02T07:35:53.953Z"
"Maryland","2024-01-13","All Results",14.5410703304986,12.0085558735209,10.6377577825564,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Mississippi","2024-03-02","All Results",28.2495189224477,6.60581279735027,8.43168754305842,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Michigan","2022-01-15","All Results",19.9857093460851,23.7253893274966,15.5144606660191,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Mississippi","2022-11-26","All Results",3.51711781304847,6.05249176735408,4.37808425696341,"Moderate","Limited Coverage","2026-04-02T07:35:53.953Z"
"Montana","2022-06-04","All Results",15.7396643429669,7.97251321227493,8.74375224079764,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Maryland","2023-10-21","All Results",7.18265135997725,5.5211059650827,4.35331520012069,"High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Mississippi","2024-01-06","All Results",14.5397094450717,15.936411861865,15.0087604233748,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Mississippi","2023-09-02","All Results",5.99175563596422,6.83098164933083,7.58668853084212,"High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Arizona","2022-05-07","All Results",3.43391310709859,4.69710141387901,3.88664835162489,"Moderate","Limited Coverage","2026-04-02T07:35:53.953Z"
"Mississippi","2024-08-24","All Results",23.7349379711143,11.4926425912232,13.9180004242411,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Montana","2022-01-29","All Results",51.3158751765255,12.9615005655905,26.7082622618531,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Arkansas","2024-01-06","All Results",20.6941773850315,15.936411861865,15.0087604233748,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Mississippi","2022-08-27","All Results",12.1894091249556,6.10691301449252,7.28816834417246,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Montana","2022-04-02","All Results",2.17555012795831,1.45642421541624,1.00787551496346,"Low","Limited Coverage","2026-04-02T07:35:53.953Z"
"Oklahoma","2026-03-28","45 Days",2.18030503644496,1.69761822042482,2.69501019265465,"Low","Limited Coverage","2026-04-02T07:35:53.953Z"
"Maryland","2023-12-02","All Results",11.5765411289206,9.32976740231032,7.12771794030745,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Mississippi","2022-10-22","All Results",2.69125475814809,3.79781485215242,2.76496857762808,"Low","Limited Coverage","2026-04-02T07:35:53.953Z"
"Mississippi","2024-11-30","All Results",2.96117730124282,3.45191121858557,2.68826487373192,"Low","Limited Coverage","2026-04-02T07:35:53.953Z"
"Montana","2024-02-24","All Results",14.4388247608986,7.06244436221022,5.74464925534982,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Florida","2022-02-05","All Results",6.37395974120623,7.4456274702801,6.37395974120623,"High","Limited Coverage","2026-04-02T07:35:53.953Z"
